Date,Mois,Type de séance,Contenu principal,Charge / Volume clé,WOD,RPE (1-10),Ressenti post-séance,Douleur / alerte,Commentaire
05/01/2026,Janvier,CrossFit,Thruster,"4 x 5 rep (60kgx5, 65kgx1)",EMOM 20' (1. Row 2. WB 3. T2B 4. Rest),7,Epuisé,N/A,Fatigue post indigestion
06/01/2026,Janvier,Haltéro,Power Clean,3 - 2 - 1 - 3 - 2 - 1,N/A,8,Fatigué,N/A,Fatigue insomnie
07/01/2026,Janvier,CrossFit,Front Squat,4 x 6 rep tempo 2 2 1 (85kg puis dernière à 90kg),"AMRAP 10' (DB C&J, Sit ups, DB Clean)",6,OK,N/A,Epuisé insomnie
09/01/2026,Janvier,Run,"7km à 5,15/km",N/A,N/A,5,Fatigué,N/A,Dur post repas Noël
12/01/2026,Janvier,CrossFit,Power Clean & Jerk,5 x 5 rep Touch & Go (60kg),"AMRAP 10' (10 STOH, 35 DU, 15 sit ups)",7,Bien,N/A,Les DU me ralentissent
13/01/2026,Janvier,Haltéro,Complex C&J et Hip Snatch,70kg + 50 kg,N/A,6,Bien,N/A,"Bonne énergie, bonne technique"
14/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5-4-3 rep (90kg puis 95kg dernière)),12' For Time (21-15-9-15-21 DL 80kg & Burpees target),8,Bien,N/A,Bonne énergie malgré fatigue
15/01/2026,Janvier,Renfo,"Pull up, dips, chin up, push up",N/A,N/A,5,Moyen,Poignet,Peu d'énergie
17/01/2026,Janvier,CrossFit,Team WOD,N/A,"AMRAP 3' BJO, AMRAP 15' OHS, DU, Complex gym AMRAP 3' BBJO",6,Moyen,N/A,DU nul nul
19/01/2026,Janvier,CrossFit,Thruster,"5 x 5 rep (2x60, 2x65, 1x70)","For Time 12' (30 PU, 30 WB, 20 C2B, 40 WB, 10 BMU, 50 WB)",8,Bien,N/A,Fatigue post nuit difficile + C2B nul
20/01/2026,Janvier,Haltéro,No Feet Clean & Split Jerk + Hip Squat Snatch,N/A,N/A,7,Très bien,N/A,"Malgré peu de sommeil, très bonnes sensations"
21/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5-4-4 rep (90kg puis 95kg dernière),"For Time 12' (30 DB Snatch, 30 BJO, 9 WW, 30 DB OH Lunges, 30 BJO, 7 WW, 30 DB HC&J, 30 BJO, 5 WW)",8,Pas mal,N/A,"Mieux dormi mais pas dingue, content de la force, cardio un peu en galère"
22/01/2026,Janvier,Renfo,"Pull up, dips, chin up, push up",N/A,N/A,5,Bon,Poignet,"Mieux dormi, moins de fatigue que la semaine dernière"
23/01/2026,Janvier,CrossFit,Power Snatch + OHS,E2MOM 2 PS + 3 OHS 60kg,"For Time 15' (3 rounds: 800m row, 10 DL 100kg 15 SHSPU)",7,Bon,Épaule légèrement,"Nuit de merde, articulations légèrement douloureuses mais mental très bon, SHSPU fort fort"
24/01/2026,Janvier,CrossFit,Team WOD Adrien,N/A,"AMRAP 13' (20 HC&J 43kg (DL hold partner), 20 cal echo, 20 T2B) puis 3 rounds 13': 20m HSW, 15 burpees target sync, 20m DB lunges sync)",9,Fatigué mais très bon,N/A,"Meilleure nuit, grip dur dur mais pareil, mental très bon"
25/01/2026,Janvier,Run,"10,3km à 5,9/km",N/A,N/A,4,Bien,N/A,"Après 6 jours d'entraînement, cardio top mais cannes fatiguées, zone 2"
26/01/2026,Janvier,CrossFit,Power Clean & Jerk,"Touch & Go, 3, 3, 5, 5, 5 rep (50 puis 60kg)","AMRAP 10' (10 Burpees over DB, 12 DB Thrusters, 14 T2B)",6,Mauvais,Épaule,"Surrentrainement, fatigue, douleur épaule, à oublier"
28/01/2026,Janvier,CrossFit,Front Squat,EMOM 10' 5 rep (90kg puis 95kg les 2 dernières),For Time 21-15-9 Deadlift 100kg Row: 5'17,8,Bon,Épaule,"Bonne énergie, l'épaule m'inquiète"
29/01/2026,Janvier,Renfo,Epaules,N/A,N/A,2,Mauvais,Épaule,"Douleur épaule droite toujours, je mobilise autour mais pas dingue"
30/01/2026,Janvier,Run,"6,,04km à 5.56/km",N/A,N/A,3,Bon,N/A,"Sortie zone de confort, respiration par le nez à 80%"
31/01/2026,Janvier,CrossFit,Team WOD,N/A,"AMRAP 10' (3 Strich Chest to Ring, 5 Thrusters 50kg, 9 situp) puis 5' to find 1 RM Front squat (100kg) puis 12' AMRAP (100 DU, 50 DB HC&J, 25 TTB)",7,Mal mais bon,Épaule,DU nul à nouveau et surtout épaule douloureuse
01/02/2026,Février,Run,"7,02km à 5,19/km",N/A,N/A,6,Bon,Dos,Dos un peu douloureux après le WOD de la veille mais cardio très bon
